player,from_team,to_team,from_league,to_league,season,prev_eff,arrival_eff,cross_league,selling_value_captured
Amine Salama,Angers,Reims,Ligue 1,Ligue 1,2023-2024,-0.9604760748019778,-0.3477932704442281,False,-0.6126828043577497
Amir Richardson,Reims,Fiorentina,Ligue 1,Serie A,2024-2025,0.207136539988868,0.6504127900126111,True,-0.4432762500237431
Anass Zaroury,Burnley,Lens,Premier League,Ligue 1,2024-2025,0.2055074992036338,1.013720287033724,True,-0.8082127878300903
Ander Guevara,Real Sociedad,Alavés,La Liga,La Liga,2023-2024,-0.2791108073222208,0.0023755254289579,False,-0.28148633275117874
Andoni Gorosabel,Real Sociedad,Alavés,La Liga,La Liga,2023-2024,-0.3090467304669921,0.5479909300845307,False,-0.8570376605515229
Andoni Gorosabel,Alavés,Athletic Club,La Liga,La Liga,2024-2025,0.5479909300845307,0.0667762032360812,False,0.4812147268484495
Andrea Belotti,Roma,Como,Serie A,Serie A,2024-2025,-0.1512459580378831,0.2875801345886,False,-0.4388260926264831
Andrea Cambiaso,Bologna,Juventus,Serie A,Serie A,2023-2024,0.8763211494630934,-0.4302468857069002,False,1.3065680351699935
Andrea Colpani,Monza,Fiorentina,Serie A,Serie A,2024-2025,0.0065764476938721,0.0085905191482442,False,-0.002014071454372099
Andrea Pinamonti,Sassuolo,Genoa,Serie A,Serie A,2024-2025,0.6400192849794717,0.6438141049564976,False,-0.0037948199770259095
André Ferreira,Granada,Valladolid,La Liga,La Liga,2024-2025,-1.5071340365197372,0.0142300815461879,False,-1.5213641180659252
André Gomes,Everton,Lille,Premier League,Ligue 1,2024-2025,0.45628806424223,1.2109990599338882,True,-0.7547109956916582
